	Score	totalLenHits	fracTranscriptHit	longestHit	seqName
0	723.7307304538024	14169	0.15211439981963992	1297	>ENSMUST00000226445.1|ENSMUSG00000115801.1|OTTMUSG00000070529.1|OTTMUST00000170496.1|RP23-48M16.13-001|RP23-48M16.13|93147|
1	651.7710959234863	5737	0.793828697938287	2835	>ENSMUST00000210835.1|ENSMUSG00000110125.1|OTTMUSG00000060155.1|OTTMUST00000147240.1|RP23-209O22.1-001|RP23-209O22.1|7227|
2	639.3634067343953	4790	0.5261423550087874	4588	>ENSMUST00000160242.7|ENSMUSG00000044021.14|OTTMUSG00000033381.3|OTTMUST00000083796.3|AC101660.4-001|Muc19|9104|
3	543.4472287478441	12123	0.13022601297641043	1299	>ENSMUST00000185789.2|ENSMUSG00000101609.2|OTTMUSG00000046380.3|OTTMUST00000120849.3|RP23-101N20.1-001|Kcnq1ot1|93092|
4	467.53696663256454	5881	0.11223068262056067	1049	>ENSMUST00000044500.5|ENSMUSG00000089940.1|OTTMUSG00000033529.2|OTTMUST00000084374.2|RP24-163G22.1-001|RP24-163G22.1|52401|
5	453.7006048834483	5836	0.07838186311378532	877	>ENSMUST00000194728.1|ENSMUSG00000104211.1|OTTMUSG00000047704.1|OTTMUST00000122915.1|RP23-44D10.1-001|RP23-44D10.1|74456|
6	330.3962582338552	5931	0.4076849051416002	2085	>ENSMUST00000146701.7|ENSMUSG00000021268.17|OTTMUSG00000023027.1|OTTMUST00000055469.1|RP23-380M24.1-001|Meg3|14548|
7	324.5249158527513	1948	0.6754507628294036	1363	>ENSMUST00000135110.1|ENSMUSG00000085566.1|OTTMUSG00000016236.1|OTTMUST00000038913.1|RP23-228H14.6-003|RP23-228H14.6|2884|
8	295.4861269786513	6706	0.683379190869255	2953	>ENSMUST00000213810.1|ENSMUSG00000111389.1|OTTMUSG00000062708.1|OTTMUST00000152732.1|RP23-366E4.10-001|RP23-366E4.10|9813|
9	291.64817444404275	4885	0.6933995741660752	3191	>ENSMUST00000190080.6|ENSMUSG00000064043.13|OTTMUSG00000046197.2|OTTMUST00000120484.2|RP23-332P1.5-001|Trerf1|7045|
10	258.528426425796	3449	0.3627853160828863	1824	>ENSMUST00000213591.1|ENSMUSG00000111465.1|OTTMUSG00000062675.1|OTTMUST00000152667.1|RP24-93F20.9-001|RP24-93F20.9|9507|
11	251.77738068730918	2139	0.3582314520180874	2051	>ENSMUST00000143272.7|ENSMUSG00000021268.17|OTTMUSG00000023027.1|OTTMUST00000055472.1|RP23-380M24.1-004|Meg3|5971|
12	248.24915131881625	1810	0.6900495615707205	1796	>ENSMUST00000088547.5|ENSMUSG00000044021.14|OTTMUSG00000033381.3|-|Muc19-201|Muc19|2623|
13	245.18569858261557	3451	0.41794840741189293	1400	>ENSMUST00000228229.1|ENSMUSG00000097286.2|OTTMUSG00000070468.1|OTTMUST00000170412.1|RP24-356L7.3-002|RP24-356L7.3|8257|
14	240.7798349595496	3697	0.6649280575539568	1555	>ENSMUST00000113671.2|ENSMUSG00000096056.1|OTTMUSG00000042280.1|OTTMUST00000111240.1|RP23-440J15.7-001|RP23-440J15.7|5560|
15	240.69749378989218	6108	1.0	6108	>ENSMUST00000183317.7|ENSMUSG00000097993.7|OTTMUSG00000043508.4|OTTMUST00000114101.2|RP23-287O2.1-001|Ptprv|6108|
16	238.5425370537132	4492	0.7810815510346026	2222	>ENSMUST00000180691.2|ENSMUSG00000097231.2|OTTMUSG00000059187.1|OTTMUST00000145252.1|RP23-457C1.1-001|RP23-457C1.1|5751|
17	238.44916102195998	3513	0.7731073943661971	3191	>ENSMUST00000077951.13|ENSMUSG00000064043.13|OTTMUSG00000046197.2|-|Trerf1-201|Trerf1|4544|
18	233.1873799735917	3814	0.2146434802183578	1976	>ENSMUST00000127786.2|ENSMUSG00000086503.3|OTTMUSG00000018295.4|OTTMUST00000044201.3|RP23-11P22.7-001|Xist|17769|
19	220.36938086404075	3240	0.7577174929840973	2881	>ENSMUST00000190020.1|ENSMUSG00000064043.13|OTTMUSG00000046197.2|OTTMUST00000123103.1|RP23-332P1.5-002|Trerf1|4276|
20	205.1119863128024	3678	0.9252830188679245	3678	>ENSMUST00000180812.2|ENSMUSG00000097368.2|OTTMUSG00000056240.1|OTTMUST00000138988.1|RP23-304I24.1-001|RP23-304I24.1|3975|
21	192.87732734162273	3238	0.8082875686470294	2470	>ENSMUST00000178074.7|ENSMUSG00000079179.9|OTTMUSG00000042347.2|OTTMUST00000111600.1|RP23-317B21.1-001|Rab10os|4006|
22	192.72862836343768	7134	0.34345963121660006	1758	>ENSMUST00000173672.1|ENSMUSG00000092274.2|OTTMUSG00000037797.2|OTTMUST00000097543.2|RP24-458F14.1-001|Neat1|20771|
23	192.3058127111234	2034	0.5154586923466802	843	>ENSMUST00000146779.1|ENSMUSG00000087615.1|OTTMUSG00000031638.1|OTTMUST00000078370.1|RP24-313J18.4-001|Pnpla1os|3946|
24	186.50345052313284	1962	0.30541718555417185	1000	>ENSMUST00000217447.1|ENSMUSG00000111443.1|OTTMUSG00000062983.1|OTTMUST00000153298.1|RP23-72A20.11-001|RP23-72A20.11|6424|
25	184.95603907225632	2611	0.9860271903323263	2611	>ENSMUST00000124276.1|ENSMUSG00000062132.9|OTTMUSG00000033749.1|OTTMUST00000085048.1|AC167970.9-001|Arhgap33os|2648|
26	183.80754851656684	1350	0.42775665399239543	597	>ENSMUST00000190728.1|ENSMUSG00000101210.1|OTTMUSG00000048391.1|OTTMUST00000124075.1|RP23-281H4.6-001|RP23-281H4.6|3156|
27	174.58758738385973	3342	0.7269958668696976	1639	>ENSMUST00000212317.1|ENSMUSG00000110607.1|OTTMUSG00000061950.1|OTTMUST00000151215.1|RP24-178J22.4-002|RP24-178J22.4|4597|
28	167.53121472329804	1092	0.5990126165660998	1092	>ENSMUST00000221428.1|ENSMUSG00000113244.1|OTTMUSG00000066985.1|OTTMUST00000162363.1|RP23-451G17.3-002|RP23-451G17.3|1823|
29	164.57277543846885	2728	0.7521367521367521	1080	>ENSMUST00000202923.1|ENSMUSG00000106896.1|OTTMUSG00000055660.1|OTTMUST00000137754.1|RP23-391P21.4-001|RP23-391P21.4|3627|
30	164.35202005670044	2565	0.9300217548948514	2243	>ENSMUST00000153443.1|ENSMUSG00000086740.1|OTTMUSG00000010949.1|OTTMUST00000025682.1|RP23-121D17.2-002|RP23-121D17.2|2758|
31	162.38224084660737	3559	0.38840990941831277	1189	>ENSMUST00000182953.7|ENSMUSG00000097767.8|OTTMUSG00000043202.1|OTTMUST00000113299.1|RP24-317K11.1-001|Miat|9163|
32	161.28511408114827	3230	0.9220667998858122	3228	>ENSMUST00000188947.6|ENSMUSG00000064043.13|OTTMUSG00000046197.2|OTTMUST00000123100.1|RP23-332P1.5-005|Trerf1|3503|
33	159.25853241338655	4125	0.4709979447362411	1531	>ENSMUST00000181535.8|ENSMUSG00000097767.8|OTTMUSG00000043202.1|OTTMUST00000113300.1|RP24-317K11.1-002|Miat|8758|
34	156.2942767344087	2176	0.5694844281601675	848	>ENSMUST00000146232.1|ENSMUSG00000094365.1|OTTMUSG00000042286.1|OTTMUST00000111253.1|RP23-72M20.2-001|RP23-72M20.2|3821|
35	154.88803721218574	2485	0.6484864300626305	2485	>ENSMUST00000181842.1|ENSMUSG00000097559.1|OTTMUSG00000054886.1|OTTMUST00000136010.1|RP23-97O1.2-001|RP23-97O1.2|3832|
36	154.5351470146862	1483	0.047928382134315814	616	>ENSMUST00000208498.1|ENSMUSG00000109536.1|OTTMUSG00000058947.2|OTTMUST00000144638.2|RP24-439I22.3-001|RP24-439I22.3|30942|
37	154.0228945020699	3179	0.5882679496669134	2639	>ENSMUST00000128342.1|ENSMUSG00000087543.1|OTTMUSG00000034300.1|OTTMUST00000087224.1|RP23-379H6.3-001|RP23-379H6.3|5404|
38	152.83849387601413	2437	0.542761692650334	988	>ENSMUST00000230588.1|ENSMUSG00000116270.1|OTTMUSG00000071189.1|OTTMUST00000172239.1|RP23-359C9.3-001|RP23-359C9.3|4490|
39	152.71749062423328	1681	0.45432432432432435	875	>ENSMUST00000192571.1|ENSMUSG00000102893.1|OTTMUSG00000051772.1|OTTMUST00000130487.1|RP23-145A18.2-001|RP23-145A18.2|3700|
40	152.11581683975845	2082	0.6392385630948726	1453	>ENSMUST00000180741.2|ENSMUSG00000097434.2|OTTMUSG00000057226.1|OTTMUST00000140875.1|RP23-14P17.9-001|RP23-14P17.9|3257|
41	151.18169444720695	3858	0.39520590043023973	1957	>ENSMUST00000224190.1|ENSMUSG00000114854.1|OTTMUSG00000068376.1|OTTMUST00000165274.1|RP23-123E17.3-006|RP23-123E17.3|9762|
42	149.84917299292323	2368	0.14780600461893764	1648	>ENSMUST00000188038.2|ENSMUSG00000108621.1|OTTMUSG00000049556.4|OTTMUST00000126334.3|RP23-402K24.2-003|RP23-402K24.2|16021|
43	149.48214215455664	2624	0.8729208250166334	2624	>ENSMUST00000212495.1|ENSMUSG00000069925.6|OTTMUSG00000061976.1|OTTMUST00000151320.1|RP24-81G20.3-003|RP24-81G20.3|3006|
44	148.5566191932287	2471	0.6303571428571428	1946	>ENSMUST00000210229.1|ENSMUSG00000109917.1|OTTMUSG00000060675.1|OTTMUST00000148367.1|RP23-57D10.2-001|RP23-57D10.2|3920|
45	147.98610276256613	2194	0.4145880574452003	832	>ENSMUST00000200473.1|ENSMUSG00000105263.1|OTTMUSG00000053808.2|OTTMUST00000133937.2|RP24-230J14.5-001|RP24-230J14.5|5292|
