	Start	End	Length	fwdLLR	kmerLLR	seqName
0	2775	2949	174	387.541329941663	326.24165453589944	>human_xist
1	1978	2086	108	227.88034449291808	193.36256638487544	>human_xist
2	6912	6947	35	65.03632565405158	54.464174453162286	>human_xist
3	7801	7822	21	55.00000731962692	44.923983018764204	>human_xist
4	9829	9857	28	41.18941269240432	28.191662145684035	>human_xist
5	9939	9954	15	39.62136016382047	33.04499605973852	>human_xist
6	6628	6655	27	35.60596196551177	25.08449036462713	>human_xist
7	7510	7537	27	35.60596196551177	25.08449036462713	>human_xist
8	9653	9676	23	30.473626591699144	30.700374653029712	>human_xist
9	7221	7241	20	30.380425912327127	21.274499809864068	>human_xist
10	501	556	55	25.766681926529998	27.17826191093178	>human_xist
11	8095	8118	23	25.135357720732998	28.683642386012394	>human_xist
12	3221	3241	20	24.67826100264682	27.92122323501937	>human_xist
13	10863	10876	13	24.123192836987528	21.826876613054367	>human_xist
14	116	130	14	21.53897626575376	21.60159849266536	>human_xist
15	12661	12675	14	21.009501084130378	19.778040173936304	>human_xist
16	8563	8580	17	20.425366084073303	19.84280702449722	>human_xist
17	11290	11302	12	17.23536538762113	21.847786391135116	>human_xist
18	12293	12318	25	11.250396084994605	20.366861211990113	>human_xist
