	Start	End	Length	fwdLLR	kmerLLR	seqName
0	267	766	499	830.5578924879555	562.6300992114539	>human_xist
1	12161	12373	212	187.58035377191732	41.106782113996815	>human_xist
2	11950	12075	125	130.1642240259365	36.906777519195316	>human_xist
3	18165	18226	61	69.18929757185987	21.06121065331598	>human_xist
4	10556	10587	31	54.83718130432953	20.781351456643932	>human_xist
5	14024	14060	36	53.833815403936796	21.134767541748346	>human_xist
6	1974	2086	112	53.331276013228944	21.38837986820488	>human_xist
7	9927	9967	40	51.17957432453983	25.20504242589783	>human_xist
8	1409	1458	49	45.905487471055665	26.828582905571295	>human_xist
9	2249	2284	35	39.866185027859274	21.967799968766684	>human_xist
10	9830	9861	31	38.01000433333158	19.95165179175919	>human_xist
11	17131	17151	20	37.27956874028952	24.79640820978021	>human_xist
12	9422	9451	29	23.753095489137507	25.789379277554332	>human_xist
