	Start	End	Length	fwdLLR	kmerLLR	seqName
0	268	765	497	540.0048103372769	315.2972399669393	>human_xist
1	12115	12527	412	315.2961155343669	77.69945932517066	>human_xist
2	11951	12075	124	116.43401327939966	40.42899628214559	>human_xist
3	1974	2086	112	68.09245188111925	39.98203099361422	>human_xist
4	9924	9970	46	50.35461583327532	26.26607693983172	>human_xist
5	2228	2284	56	47.280536997901265	23.772946390603067	>human_xist
6	14024	14059	35	45.36090198200279	20.1331870375989	>human_xist
7	9818	9862	44	44.40732021731108	21.773721762486616	>human_xist
8	1408	1456	48	39.39071049783155	21.67135146226235	>human_xist
9	17131	17157	26	31.50251019144993	21.347739894705967	>human_xist
