	Start	End	Length	fwdLLR	kmerLLR	seqName
0	267	766	499	830.1587299249031	562.6300992114539	>human_xist
1	12161	12373	212	187.41426842877945	41.106782113996815	>human_xist
2	11950	12075	125	130.21478437022768	36.906777519195316	>human_xist
3	18165	18226	61	69.13274508284167	21.06121065331598	>human_xist
4	10556	10587	31	54.80133202811962	20.781351456643932	>human_xist
5	14024	14060	36	53.79006532089514	21.134767541748346	>human_xist
6	1974	2086	112	53.18995786694654	21.38837986820488	>human_xist
7	9927	9967	40	51.132070792319894	25.20504242589783	>human_xist
8	1409	1458	49	45.84633819349756	26.828582905571295	>human_xist
9	2249	2284	35	39.82553027076722	21.967799968766684	>human_xist
10	9830	9861	31	37.974492795073985	19.95165179175919	>human_xist
11	17131	17151	20	37.2576100695547	24.79640820978021	>human_xist
12	9423	9451	28	22.849064401025203	25.794160423093302	>human_xist
