	Start	End	Length	fwdLLR	kmerLLR	seqName
0	7221	8065	844	875.1643854510658	383.0711057606841	>human_xist
1	6356	7178	822	869.7819004654593	463.3777048332813	>human_xist
2	4466	4731	265	310.74343882968105	164.57432188914845	>human_xist
3	8525	8803	278	256.618369950746	94.41501791728433	>human_xist
4	5404	5623	219	230.47999103915208	131.11565749071224	>human_xist
5	8099	8293	194	218.7442118652266	112.52460183659059	>human_xist
6	4120	4369	249	208.62148518375216	100.48790290502939	>human_xist
7	6068	6285	217	196.28369717548048	120.27476499151544	>human_xist
8	3831	4024	193	153.43417813715632	55.854419114590655	>human_xist
9	1931	2074	143	146.9400123914777	92.795194965993	>human_xist
10	8922	9058	136	143.6279211278818	71.02609936156296	>human_xist
11	8363	8485	122	121.89121348651292	36.322345475850625	>human_xist
12	5816	5942	126	115.16845590872867	51.13940952156463	>human_xist
13	4978	5079	101	106.35821461136288	37.94572482901572	>human_xist
14	9532	9604	72	105.33780776034837	65.26787304254776	>human_xist
15	2998	3110	112	90.71143925894921	48.4623504235019	>human_xist
16	9294	9376	82	88.90021434506548	44.20975911401467	>human_xist
17	5643	5777	134	84.40637055227853	35.587602045461836	>human_xist
18	9113	9169	56	78.02499528371243	49.32896207234478	>human_xist
19	3732	3801	69	68.82276790066044	28.6772930950101	>human_xist
20	9983	10079	96	63.95016190740989	17.198774241364617	>human_xist
21	9436	9501	65	61.270435171237864	51.51681405710133	>human_xist
22	9841	9907	66	57.52040956420137	17.199855644269405	>human_xist
23	4922	4960	38	48.130736005871086	27.255076908972455	>human_xist
24	10124	10183	59	48.11090836554092	16.549304605559428	>human_xist
25	4850	4894	44	46.39276886109582	25.344329013972413	>human_xist
26	1855	1886	31	41.63594306228583	19.959495993006726	>human_xist
27	2886	2943	57	40.49797780200356	27.686133667870877	>human_xist
28	8852	8891	39	37.96361595698994	24.670788445541632	>human_xist
29	4754	4784	30	36.291936637214235	29.92064642191923	>human_xist
30	3569	3630	61	35.65454377909248	16.68215185179747	>human_xist
31	9739	9765	26	34.83890253103257	26.783641576001344	>human_xist
32	9659	9687	28	33.06660464372189	19.354373945538583	>human_xist
33	4057	4077	20	32.12370104177518	20.656868477595992	>human_xist
34	13944	13995	51	27.884615131095302	18.70228346313445	>human_xist
35	5366	5384	18	26.501744652562138	21.272005099399536	>human_xist
36	1028	1060	32	25.405311707843794	17.674587768541528	>human_xist
37	3398	3412	14	24.356376620591377	17.43888433900156	>human_xist
38	4427	4450	23	23.686297218557797	17.961907257796696	>human_xist
39	15950	15970	20	22.165546266677524	18.671657005147267	>human_xist
40	1171	1194	23	21.919463002905786	17.278130201210104	>human_xist
41	1135	1152	17	20.831969052997678	21.652235131805043	>human_xist
42	12286	12318	32	20.238296541383306	25.62270889939259	>human_xist
43	11616	11642	26	20.12927949900495	25.587652383994055	>human_xist
44	18908	18929	21	19.994050026026144	20.084702954693142	>human_xist
45	17588	17620	32	19.137534221784847	20.177278699753856	>human_xist
46	5291	5305	14	18.35202739025084	18.47565630964887	>human_xist
47	16017	16041	24	14.122613212963671	18.998735747258166	>human_xist
48	6306	6334	28	11.486063721164726	20.094616137748915	>human_xist
49	501	545	44	9.441880764914742	22.117742205782633	>human_xist
