	Start	End	Length	fwdLLR	kmerLLR	seqName
0	2774	2961	187	376.02255500664205	303.9266970545982	>human_xist
1	1978	2086	108	184.2465384319646	145.53229075320155	>human_xist
2	7801	7822	21	50.44485340672614	37.22684620533229	>human_xist
3	6915	6947	32	43.75058302414163	32.119082919180585	>human_xist
4	13083	13220	137	42.630250009948895	33.42201343454872	>human_xist
5	6628	6706	78	39.64761534042168	26.413011391975033	>human_xist
6	7510	7540	30	35.23359597230382	21.814855554865915	>human_xist
7	9939	9954	15	34.84416393206753	26.304883905215164	>human_xist
8	9829	9857	28	33.1136688809344	18.219013572836133	>human_xist
9	501	584	83	28.27194180780384	46.90021497896214	>human_xist
10	8095	8120	25	26.004349354784097	31.951313689891748	>human_xist
11	11289	11337	48	25.143576208583738	23.222770205353584	>human_xist
12	3220	3241	21	24.25806987783733	28.96877688967311	>human_xist
13	9652	9672	20	24.087144638911667	24.164718248439158	>human_xist
14	10863	10877	14	21.831620222826032	19.350187939151	>human_xist
15	12662	12701	39	16.948556904547672	28.13179602880041	>human_xist
16	117	147	30	14.71694898986101	19.86945734290788	>human_xist
17	9429	9475	46	12.803715747815318	29.207619595957226	>human_xist
18	12291	12319	28	12.054402723050941	24.585864643603543	>human_xist
19	411	439	28	10.036654257378302	20.156345791548233	>human_xist
20	6265	6282	17	8.997182077942426	20.54454480972049	>human_xist
21	654	680	26	5.8415842764676995	20.16872422851796	>human_xist
22	0	32	32	4.734607213103004	8.806967532108104	>human_xist
23	368	392	24	2.968323438151856	17.13948857072134	>human_xist
24	1502	1581	79	2.3158927149164583	23.569661620958072	>human_xist
25	742	759	17	1.826295558001192	20.01225330257313	>human_xist
26	701	724	23	1.4467075208395954	23.384603572430336	>human_xist
27	609	632	23	1.4467073664876011	21.10177972970476	>human_xist
28	453	480	27	1.1932045028191283	32.81480111582795	>human_xist
29	3417	3440	23	0.6687352830165594	20.008160699041355	>human_xist
30	940	976	36	0.03737035699708713	33.411130543510524	>human_xist
31	6186	6202	16	-1.6953786117194056	21.58205685054125	>human_xist
32	15652	15669	17	-1.7587794166663855	27.780106592805737	>human_xist
33	3133	3151	18	-1.8220774032047302	22.369387676728053	>human_xist
34	17143	17162	19	-1.8842519564515499	19.2850560878704	>human_xist
