	Start	End	Length	fwdLLR	kmerLLR	seqName
0	11945	12650	705	1324.8666047305678	656.6646661967325	>human_xist
1	4981	5096	115	117.85709178383104	37.82407658552165	>human_xist
2	1413	1446	33	68.25656780226751	50.51571587070691	>human_xist
3	404	523	119	61.26407655285357	30.566344099642947	>human_xist
4	8316	8351	35	58.769813517825355	37.099994959651724	>human_xist
5	17859	17896	37	57.74783326000596	23.261348089716364	>human_xist
6	17523	17552	29	56.37371947823891	26.786934842782046	>human_xist
7	9800	9846	46	54.79216295770874	33.32349093125276	>human_xist
8	8827	8851	24	53.16938137884921	28.85856285053083	>human_xist
9	10443	10468	25	46.86027479577518	22.04178958011866	>human_xist
10	19122	19148	26	45.81380909993794	22.674084922391927	>human_xist
11	13607	13630	23	43.2231854120582	20.996993128813074	>human_xist
12	188	229	41	40.393581181568834	30.097276258957038	>human_xist
13	10055	10090	35	40.26430276285322	36.171179302729115	>human_xist
14	6266	6316	50	38.90205794782355	28.98197938196381	>human_xist
15	15701	15732	31	32.84318511649343	20.344175645085727	>human_xist
16	2649	2665	16	32.69345346039492	23.496513832699378	>human_xist
17	8107	8135	28	32.46282674287454	26.346568544015895	>human_xist
18	10779	10797	18	32.15034056057871	20.19576646985945	>human_xist
19	2762	2788	26	27.08968350275771	20.6854672241426	>human_xist
20	5413	5455	42	25.158463495528622	21.448441270220314	>human_xist
21	17589	17615	26	19.620953710634836	22.945328374170856	>human_xist
22	5492	5509	17	19.531179848996146	22.148264828947276	>human_xist
23	9424	9451	27	18.994586787772164	30.596536602109154	>human_xist
24	1075	1113	38	17.365133079784982	22.38914423411626	>human_xist
25	3129	3151	22	1.543797777590953	20.944651329846266	>human_xist
26	942	980	38	-8.681044183373729	21.714361883597746	>human_xist
